"CLIMENT CLUB","BLUE","ADULT","FEMALE","FEATHER","1"
"CLIMENT CLUB","BLACK","MASTER 1","FEMALE","LIGHT","1"
"CARLSON GRACIE INTERNATIONAL","PURPLE","ADULT","MALE","FEATHER","1"
"CARLSON GRACIE INTERNATIONAL","BLUE","ADULT","MALE","MIDDLE","2"
"CARLSON GRACIE INTERNATIONAL","WHITE","ADULT","MALE","MEDIUM HEAVY","1"
"CARLSON GRACIE INTERNATIONAL","BLUE","ADULT","MALE","MEDIUM HEAVY","2"
"CARLSON GRACIE INTERNATIONAL","BLUE","MASTER 1","MALE","MIDDLE","2"
"CARLSON GRACIE INTERNATIONAL","BLUE","ADULT","MALE","LIGHT","2"
"ANDY ROBERTS BJJ","WHITE","MASTER 2","MALE","MIDDLE","1"
"MIRKOVIC BJJ","BLUE","ADULT","MALE","MEDIUM HEAVY","2"
"A.S TEAM","BROWN","ADULT","MALE","HEAVY","1"
"A.S TEAM","BLACK","MASTER 1","MALE","HEAVY","2"
"GRACIE JIU JITSU AAF","BROWN","MASTER 1","MALE","HEAVY","1"
"GRACIE JIU JITSU AAF","BLUE","ADULT","MALE","MIDDLE","1"
"GRACIE JIU JITSU AAF","WHITE","ADULT","MALE","LIGHT","1"
"GRACIE JIU JITSU AAF","BLUE","MASTER 1","MALE","SUPER HEAVY","1"
"BJJ SCOTLAND","BLUE","ADULT","MALE","FEATHER","1"
"BJJ SCOTLAND","WHITE","ADULT","MALE","LIGHT FEATHER","1"
"BJJ SCOTLAND","BLACK","MASTER 1","MALE","LIGHT","1"
"BJJ SCOTLAND","BLUE","ADULT","MALE","MIDDLE","1"
"RAFAEL RIBEIRO BJJ","PURPLE","ADULT","MALE","FEATHER","1"
"RAFAEL RIBEIRO BJJ","BLACK","MASTER 1","MALE","FEATHER","1"
"RAFAEL RIBEIRO BJJ","BLUE","ADULT","MALE","MIDDLE","1"
"RAFAEL RIBEIRO BJJ","BLUE","ADULT","MALE","HEAVY","1"
"RAFAEL RIBEIRO BJJ","WHITE","MASTER 2","MALE","FEATHER","1"
"RAFAEL RIBEIRO BJJ","WHITE","MASTER 1","MALE","MIDDLE","1"
"RAFAEL RIBEIRO BJJ","BLUE","MASTER 1","MALE","FEATHER","1"
"RAFAEL RIBEIRO BJJ","PURPLE","MASTER 1","MALE","LIGHT","1"
"RAFAEL RIBEIRO BJJ","WHITE","ADULT","FEMALE","LIGHT","1"
"RAFAEL RIBEIRO BJJ","WHITE","ADULT","MALE","LIGHT","1"
"RAFAEL RIBEIRO BJJ","BLUE","ADULT","MALE","FEATHER","1"
"JIU JITSU CENTER","WHITE","ADULT","FEMALE","HEAVY","1"
"YAMATO MILANO","BLUE","MASTER 1","FEMALE","LIGHT FEATHER","1"
"YAMATO MILANO","PURPLE","MASTER 2","MALE","MEDIUM HEAVY","1"
"YAMATO MILANO","PURPLE","MASTER 1","MALE","LIGHT FEATHER","1"
"YAMATO MILANO","WHITE","ADULT","FEMALE","FEATHER","1"
"YAMATO MILANO","BROWN","MASTER 2","MALE","MIDDLE","1"
"YAMATO MILANO","BROWN","MASTER 3","MALE","LIGHT","1"
"QVINTA BRIGADA","PURPLE","ADULT","MALE","FEATHER","1"
"QVINTA BRIGADA","WHITE","ADULT","MALE","MIDDLE","1"
"QVINTA BRIGADA","WHITE","MASTER 1","MALE","MIDDLE","1"
"QVINTA BRIGADA","BLUE","ADULT","MALE","ULTRA HEAVY","1"
"QVINTA BRIGADA","BLUE","MASTER 1","MALE","HEAVY","1"
"QVINTA BRIGADA","WHITE","MASTER 2","MALE","MEDIUM HEAVY","1"
"QVINTA BRIGADA","BLUE","MASTER 2","MALE","ULTRA HEAVY","1"
"FRATELLI LETERI BRAZILIAN JIU JITSU","PURPLE","MASTER 1","MALE","LIGHT FEATHER","1"
"FRATELLI LETERI BRAZILIAN JIU JITSU","BLUE","MASTER 1","MALE","FEATHER","1"
"FRATELLI LETERI BRAZILIAN JIU JITSU","BLACK","MASTER 1","MALE","LIGHT FEATHER","1"
"EVOLUTION FIGHT TEAM - PORTUGAL","BLUE","MASTER 2","MALE","FEATHER","1"
"YOGUI BRAZILIAN JIU JITSU ACADEMY","WHITE","ADULT","MALE","LIGHT","1"
"YOGUI BRAZILIAN JIU JITSU ACADEMY","PURPLE","ADULT","MALE","HEAVY","1"
"ACCADEMIA KAMA","BLUE","ADULT","MALE","ROOSTER","1"
"ACCADEMIA KAMA","PURPLE","ADULT","MALE","MIDDLE","1"
"BLAKZ TEAM","PURPLE","MASTER 1","MALE","LIGHT","1"
"BLAKZ TEAM","WHITE","MASTER 2","MALE","LIGHT","1"
"BLAKZ TEAM","BLUE","ADULT","FEMALE","LIGHT FEATHER","1"
"JIU-JITSU ROMANA","BLUE","MASTER 2","MALE","HEAVY","1"
"JIU-JITSU ROMANA","BLUE","MASTER 1","MALE","MIDDLE","1"
"JIU-JITSU ROMANA","PURPLE","MASTER 1","MALE","FEATHER","1"
"ROCHA JIU JITSU","BROWN","ADULT","MALE","MIDDLE","1"
"ROCHA JIU JITSU","BLACK","MASTER 2","MALE","LIGHT","1"
"BUDO CLAN","WHITE","MASTER 1","MALE","LIGHT","1"
"BUDO CLAN","WHITE","ADULT","FEMALE","LIGHT","1"
"BUDO CLAN","WHITE","MASTER 2","MALE","LIGHT","1"
"RYAN GRACIE TEAM","BLACK","ADULT","MALE","SUPER HEAVY","1"
"RYAN GRACIE TEAM","BLACK","ADULT","MALE","LIGHT","1"
"ACEMAT","WHITE","ADULT","MALE","LIGHT FEATHER","1"
"ACEMAT","WHITE","MASTER 1","MALE","FEATHER","1"
"ACEMAT","BLACK","ADULT","FEMALE","LIGHT","1"
"ACEMAT","WHITE","ADULT","MALE","ROOSTER","1"
"RILION GRACIE JJ","BROWN","ADULT","MALE","MIDDLE","1"
"JUQUINHA INTERNATIONAL JIU-JITSU","BLUE","ADULT","MALE","SUPER HEAVY","1"
"JUQUINHA INTERNATIONAL JIU-JITSU","PURPLE","MASTER 2","MALE","FEATHER","1"
"JUQUINHA INTERNATIONAL JIU-JITSU","WHITE","ADULT","MALE","SUPER HEAVY","1"
"JUQUINHA INTERNATIONAL JIU-JITSU","PURPLE","ADULT","MALE","ULTRA HEAVY","1"
"JUQUINHA INTERNATIONAL JIU-JITSU","PURPLE","ADULT","MALE","LIGHT FEATHER","1"
"TOULON JJB","BLACK","ADULT","MALE","FEATHER","1"
"TOULON JJB","BLUE","ADULT","FEMALE","LIGHT","1"
"TEAM GIL CATARINO JJ","BLUE","ADULT","MALE","FEATHER","2"
"TEAM GIL CATARINO JJ","BLUE","MASTER 2","MALE","FEATHER","1"
"TEAM GIL CATARINO JJ","BLACK","MASTER 2","MALE","LIGHT","1"
"ZERJAL TEAM","PURPLE","MASTER 2","MALE","LIGHT","1"
"ZERJAL TEAM","PURPLE","ADULT","MALE","MIDDLE","1"
"ZERJAL TEAM","BROWN","ADULT","MALE","SUPER HEAVY","1"
"ZERJAL TEAM","BLUE","MASTER 1","MALE","SUPER HEAVY","1"
"ZERJAL TEAM","BLUE","MASTER 3","MALE","HEAVY","1"
"CIA PAULISTA","BLACK","MASTER 4","MALE","FEATHER","1"
"OFFICINE JIU-JITSU","PURPLE","ADULT","MALE","LIGHT","1"
"OFFICINE JIU-JITSU","BLUE","ADULT","FEMALE","LIGHT","1"
"OFFICINE JIU-JITSU","BLUE","ADULT","MALE","LIGHT","1"
"REINALDO RIBEIRO TEAM","BLACK","MASTER 2","MALE","SUPER HEAVY","1"
"REINALDO RIBEIRO TEAM","PURPLE","MASTER 2","MALE","LIGHT","2"
"REINALDO RIBEIRO TEAM","BLACK","MASTER 1","MALE","MIDDLE","1"
"REINALDO RIBEIRO TEAM","BROWN","MASTER 1","MALE","SUPER HEAVY","1"
"REINALDO RIBEIRO TEAM","BLUE","ADULT","MALE","MIDDLE","2"
"REINALDO RIBEIRO TEAM","BLUE","MASTER 2","MALE","LIGHT","1"
"REINALDO RIBEIRO TEAM","WHITE","ADULT","MALE","FEATHER","1"
"REINALDO RIBEIRO TEAM","BLUE","ADULT","MALE","LIGHT FEATHER","1"
"REINALDO RIBEIRO TEAM","BROWN","ADULT","MALE","LIGHT","1"
"REINALDO RIBEIRO TEAM","WHITE","ADULT","FEMALE","HEAVY","1"
"ZENITH BJJ INTERNATIONAL","PURPLE","ADULT","MALE","LIGHT","1"
"BRAZILIAN POWER TEAM","BLUE","ADULT","MALE","MEDIUM HEAVY","1"
"BRAZILIAN POWER TEAM","BLUE","MASTER 1","MALE","SUPER HEAVY","1"
"BRAZILIAN POWER TEAM","BROWN","MASTER 1","MALE","FEATHER","1"
"BRAZILIAN POWER TEAM","PURPLE","ADULT","MALE","ROOSTER","1"
"BRAZILIAN POWER TEAM","BLUE","ADULT","MALE","LIGHT FEATHER","1"
"BRAZILIAN POWER TEAM","WHITE","MASTER 2","MALE","HEAVY","1"
"BRAZILIAN POWER TEAM","WHITE","ADULT","FEMALE","HEAVY","1"
"BRAZILIAN POWER TEAM","PURPLE","MASTER 2","MALE","LIGHT","1"
"BRAZILIAN POWER TEAM","WHITE","MASTER 1","MALE","LIGHT","1"
"BRAZILIAN POWER TEAM","BLUE","ADULT","FEMALE","LIGHT FEATHER","1"
"BRAZILIAN POWER TEAM","PURPLE","ADULT","MALE","LIGHT","1"
"BRAZILIAN POWER TEAM","WHITE","MASTER 1","MALE","MEDIUM HEAVY","2"
"BRAZILIAN POWER TEAM","WHITE","MASTER 1","MALE","FEATHER","1"
"BRAZILIAN POWER TEAM","PURPLE","ADULT","FEMALE","FEATHER","1"
"BRAZILIAN POWER TEAM","PURPLE","ADULT","MALE","HEAVY","1"
"BRAZILIAN POWER TEAM","BLUE","MASTER 2","MALE","LIGHT","1"
"BRAZILIAN POWER TEAM","BLUE","ADULT","MALE","FEATHER","1"
"BRAZILIAN POWER TEAM","WHITE","ADULT","MALE","MIDDLE","2"
"BRAZILIAN POWER TEAM","BLACK","MASTER 2","MALE","HEAVY","1"
"BRAZILIAN POWER TEAM","BLACK","MASTER 3","MALE","SUPER HEAVY","1"
"BRAZILIAN POWER TEAM","BLACK","ADULT","FEMALE","LIGHT","1"
"BRAZILIAN POWER TEAM","BLUE","MASTER 2","MALE","HEAVY","1"
"BRAZILIAN POWER TEAM","BLACK","ADULT","MALE","SUPER HEAVY","1"
"BRAZILIAN POWER TEAM","BLACK","MASTER 1","MALE","MIDDLE","1"
"BRAZILIAN POWER TEAM","PURPLE","MASTER 3","MALE","FEATHER","1"
"BRAZILIAN POWER TEAM","BLACK","MASTER 1","MALE","LIGHT","1"
"BRAZILIAN POWER TEAM","WHITE","ADULT","MALE","MEDIUM HEAVY","1"
"BRAZILIAN POWER TEAM","WHITE","MASTER 2","MALE","MIDDLE","1"
"BRAZILIAN POWER TEAM","BLACK","MASTER 1","MALE","MEDIUM HEAVY","1"
"BRAZILIAN POWER TEAM","PURPLE","MASTER 1","MALE","LIGHT","1"
"BRAZILIAN POWER TEAM","BLACK","MASTER 2","MALE","LIGHT","1"
"BRAZILIAN POWER TEAM","WHITE","ADULT","MALE","FEATHER","2"
"BRAZILIAN POWER TEAM","PURPLE","ADULT","MALE","MIDDLE","1"
"BRAZILIAN POWER TEAM","BLUE","ADULT","MALE","LIGHT","2"
"FABRICIO WERDUM JJ","WHITE","ADULT","MALE","MIDDLE","1"
"FABRICIO WERDUM JJ","BLUE","ADULT","MALE","MIDDLE","1"
"FABRICIO WERDUM JJ","WHITE","MASTER 1","MALE","LIGHT","1"
"FABRICIO WERDUM JJ","PURPLE","MASTER 2","MALE","MEDIUM HEAVY","1"
"FABRICIO WERDUM JJ","BLUE","MASTER 3","MALE","FEATHER","1"
"FABRICIO WERDUM JJ","BLUE","MASTER 2","MALE","MIDDLE","1"
"FABRICIO WERDUM JJ","BLUE","ADULT","MALE","FEATHER","1"
"FABRICIO WERDUM JJ","PURPLE","ADULT","MALE","LIGHT FEATHER","1"
"BALANCE","BLUE","MASTER 3","MALE","LIGHT","1"
"COELHAO JIU-JITSU","WHITE","MASTER 1","MALE","HEAVY","1"
"COELHAO JIU-JITSU","BLUE","ADULT","MALE","MIDDLE","1"
"COELHAO JIU-JITSU","WHITE","ADULT","MALE","MEDIUM HEAVY","1"
"COELHAO JIU-JITSU","PURPLE","MASTER 1","MALE","LIGHT FEATHER","1"
"COELHAO JIU-JITSU","PURPLE","MASTER 1","MALE","LIGHT","1"
"COELHAO JIU-JITSU","PURPLE","MASTER 1","MALE","MIDDLE","1"
"COELHAO JIU-JITSU","BLUE","MASTER 3","MALE","MEDIUM HEAVY","1"
"COELHAO JIU-JITSU","BLUE","MASTER 1","MALE","HEAVY","1"
"COELHAO JIU-JITSU","WHITE","ADULT","MALE","LIGHT","1"
"COELHAO JIU-JITSU","BLUE","ADULT","MALE","FEATHER","1"
"COELHAO JIU-JITSU","BLACK","MASTER 1","MALE","SUPER HEAVY","1"
"COELHAO JIU-JITSU","WHITE","MASTER 2","MALE","MEDIUM HEAVY","1"
"JORDAN TEAM","PURPLE","ADULT","MALE","MEDIUM HEAVY","1"
"ICON JIU-JITSU TEAM 3","BLUE","ADULT","MALE","MEDIUM HEAVY","2"
"ICON JIU-JITSU TEAM 3","BLUE","MASTER 1","MALE","MIDDLE","1"
"ICON JIU-JITSU TEAM 3","BLUE","MASTER 2","MALE","MEDIUM HEAVY","1"
"ICON JIU-JITSU TEAM 3","BLUE","ADULT","MALE","LIGHT","1"
"ICON JIU-JITSU TEAM 2","WHITE","ADULT","MALE","HEAVY","1"
"ICON JIU-JITSU TEAM 2","WHITE","ADULT","MALE","MIDDLE","2"
"ICON JIU-JITSU TEAM 2","BLUE","ADULT","MALE","MIDDLE","1"
"ICON JIU-JITSU TEAM 2","WHITE","MASTER 1","MALE","LIGHT FEATHER","1"
"ICON JIU-JITSU TEAM 2","WHITE","ADULT","FEMALE","FEATHER","1"
"ICON JIU-JITSU TEAM 2","PURPLE","MASTER 2","MALE","LIGHT","1"
"ICON JIU-JITSU TEAM 2","BLUE","MASTER 1","MALE","LIGHT","2"
"ICON JIU-JITSU TEAM 2","BLUE","ADULT","MALE","MEDIUM HEAVY","2"
"ICON JIU-JITSU TEAM 2","BLUE","ADULT","MALE","SUPER HEAVY","2"
"ICON JIU-JITSU TEAM 2","WHITE","JUVENILE 1","MALE","LIGHT","1"
"ICON JIU-JITSU TEAM 2","BLUE","MASTER 2","MALE","MIDDLE","1"
"ICON JIU-JITSU TEAM 2","BLUE","MASTER 1","MALE","MIDDLE","2"
"ICON JIU-JITSU TEAM 2","WHITE","ADULT","MALE","LIGHT","2"
"ICON JIU-JITSU TEAM 2","BLUE","MASTER 2","MALE","MEDIUM HEAVY","2"
"ICON JIU-JITSU TEAM 2","BLUE","ADULT","MALE","FEATHER","1"
"ICON JIU-JITSU TEAM 2","PURPLE","ADULT","MALE","LIGHT","1"
"ICON JIU-JITSU TEAM 2","WHITE","ADULT","MALE","FEATHER","2"
"ICON JIU-JITSU TEAM 2","BLUE","ADULT","MALE","LIGHT","2"
"ICON JIU-JITSU TEAM 2","BROWN","ADULT","MALE","LIGHT","1"
"ICON JIU-JITSU TEAM 2","BROWN","MASTER 1","MALE","MEDIUM HEAVY","1"
"ICON JIU-JITSU TEAM 2","WHITE","MASTER 2","MALE","LIGHT","1"
"IMPACT JIU JITSU","WHITE","MASTER 1","MALE","MEDIUM HEAVY","1"
"ROGER GRACIE ESPAA","BROWN","ADULT","MALE","MIDDLE","1"
"OVER LIMIT BJJ","BLACK","MASTER 2","MALE","SUPER HEAVY","1"
"OVER LIMIT BJJ","BROWN","MASTER 2","MALE","LIGHT","1"
"NEW FORCE UK","BROWN","ADULT","MALE","LIGHT FEATHER","1"
