"Weight","#Athlete","% Athlete"
"HEAVY","238","0.08095238095238096"
"MEDIUM HEAVY MELANIE RAYE GONZALES","2","0.0006802721088435374"
"LIGHT FEATHER","337","0.11462585034013606"
"SUPER HEAVY","175","0.05952380952380952"
"LIGHT","576","0.19591836734693877"
"ROOSTER","152","0.05170068027210884"
"MIDDLE","475","0.16156462585034015"
"MEDIUM HEAVY","357","0.12142857142857143"
"FEATHER","498","0.16938775510204082"
"ULTRA HEAVY","140","0.047619047619047616"
