"Belt","#Athlete","% Athlete"
"BLUE","1015","0.34523809523809523"
"PURPLE","668","0.2272108843537415"
"WHITE","480","0.16326530612244897"
"BLACK","412","0.1401360544217687"
"BROWN","370","0.12585034013605442"
