"Category","#Athlete","% Athlete"
"JUVENILE 1","54","0.015258547612319864"
"JUVENILE 2","66","0.01864933597061317"
"ADULT","1669","0.4716021474992936"
"MASTER 2","513","0.1449562023170387"
"MASTER 3","257","0.07261938400678157"
"MASTER 1","761","0.2150324950551003"
"MASTER 6","26","0.00734670810963549"
"MASTER 4","130","0.03673354054817745"
"MASTER 5","72","0.020344730149759818"
