"Belt","#Athlete","% Athlete"
"BLUE","1186","0.3351229160779881"
"PURPLE","777","0.21955354619949138"
"WHITE","713","0.2014693416219271"
"BLACK","465","0.1313930488838655"
"BROWN","403","0.1138739756993501"
