"Academy","#Athlete","% Athlete","#Gold","#Silver","#Bonze","% Success","#Score"
"ASSOCIATION ARANHA","37","0.010454930771404351","3","4","4","0.2972972972972973","2008.6216216216217"
"KOMBAT KLUB","1","0.00028256569652444194","0","0","1","1.0","3539.0"
"GRACIE HUMAITA CANAD","2","0.0005651313930488839","0","1","0","0.5","3539.0"
"BARRETO JIU-JITSU FINLAND","9","0.002543091268719977","0","0","1","0.1111111111111111","393.22222222222223"
"JACKSONVILLE GRACIE JIU-JITSU","2","0.0005651313930488839","0","0","1","0.5","1769.5"
"GRACIE FLORIPA INTERNATIONAL","4","0.0011302627860977678","0","0","0","0.0","0.0"
"NOVA UNIO EUROPA","6","0.0016953941791466515","0","0","0","0.0","0.0"
"TEAM JUCAO USA","1","0.00028256569652444194","1","0","0","1.0","10617.0"
"GUETHO JIU JITSU","1","0.00028256569652444194","0","0","0","0.0","0.0"
"FERNANDO BOI JJ","1","0.00028256569652444194","0","0","0","0.0","0.0"
"DE LA RIVA / BA","1","0.00028256569652444194","0","0","1","1.0","3539.0"
"GOLD TEAM FIGHTERS","6","0.0016953941791466515","1","2","2","0.8333333333333334","5308.5"
"FALA DE LUTA","1","0.00028256569652444194","0","0","0","0.0","0.0"
"MILANIMAL","16","0.004521051144391071","0","0","5","0.3125","1105.9375"
"BATATINHA TEAM ITALIA","25","0.007064142413111049","1","2","3","0.24","1415.6"
"UFLACKER ACADEMY","1","0.00028256569652444194","0","0","0","0.0","0.0"
"INTEGRAO","1","0.00028256569652444194","0","0","0","0.0","0.0"
"ACADEMIA DE JIU JITSU","1","0.00028256569652444194","0","0","0","0.0","0.0"
"GF TEAM","14","0.003955919751342187","2","1","1","0.2857142857142857","2275.071428571429"
"TEAM LAGARTO","11","0.0031082226617688614","1","0","0","0.09090909090909091","965.1818181818181"
"GLADIUS MMA","5","0.0014128284826222096","0","2","1","0.6","3539.0"
"CLUBE OMAR SALUM PAR","1","0.00028256569652444194","0","0","1","1.0","3539.0"
"GF TEAM INTERNATIONAL","15","0.004238485447866629","1","0","3","0.26666666666666666","1415.6"
"2 BROTHERS BFC","4","0.0011302627860977678","0","0","1","0.25","884.75"
"Z MARIO TEAM","1","0.00028256569652444194","0","0","0","0.0","0.0"
"TROPA DE ELITE","6","0.0016953941791466515","1","1","0","0.3333333333333333","2949.166666666667"
"GRACIE BARRA INTERNATIONAL","18","0.005086182537439954","1","1","0","0.1111111111111111","983.0555555555557"
"TEAM TATAME","5","0.0014128284826222096","0","0","0","0.0","0.0"
