"Academy","#Athlete","% Athlete","#Gold","#Silver","#Bonze","% Success","#Score"
"BATATINHA TEAM ITALIA JJ","1","0.00028256569652444194","0","0","0","0.0","0.0"
"BARBOSA TEAM AGUA","3","0.0008476970895733258","1","0","0","0.3333333333333333","3539.0"
"PHALANX 111","2","0.0005651313930488839","0","0","0","0.0","0.0"
"BJJ SCHOOL UK","8","0.0022605255721955355","2","0","1","0.375","3096.625"
"ALLIANCE CROATIA","1","0.00028256569652444194","0","0","0","0.0","0.0"
"GROUND FIGHTERS","8","0.0022605255721955355","1","1","1","0.375","2654.25"
"ZENITH BJJ","30","0.008476970895733259","1","1","7","0.3","1415.6"
"HILTI BJJ JYVASKYLA","4","0.0011302627860977678","1","1","0","0.5","4423.75"
"WILLCOX TEAM","1","0.00028256569652444194","0","0","0","0.0","0.0"
"ATTICA","2","0.0005651313930488839","0","0","1","0.5","1769.5"
"WING BJJ","25","0.007064142413111049","3","3","3","0.36","2548.08"
"SOUL FIGHTERS INTERNATIONAL","3","0.0008476970895733258","0","0","1","0.3333333333333333","1179.6666666666667"
"BIG BROTHERS","2","0.0005651313930488839","1","0","0","0.5","5308.5"
"POUND FOR POUND TEAM","31","0.0087595365922577","2","2","3","0.22580645161290322","1484.0967741935485"
"BRAZILIAN JIU-JITSU TEAM MALTA","4","0.0011302627860977678","0","1","0","0.25","1769.5"
"MMA ISRAEL BJJ","24","0.006781576716586606","2","1","7","0.4166666666666667","2211.875"
"OPEN MAT MIXED MARTIAL ARTS","4","0.0011302627860977678","2","0","0","0.5","5308.5"
"HILTI","4","0.0011302627860977678","0","0","0","0.0","0.0"
"CSA","2","0.0005651313930488839","0","1","0","0.5","3539.0"
"EQUIPE GAVIO JJ","3","0.0008476970895733258","1","1","0","0.6666666666666666","5898.333333333334"
"MB ACADEMY","11","0.0031082226617688614","2","0","1","0.2727272727272727","2252.090909090909"
"CHECKMAT INTERNATIONAL","18","0.005086182537439954","0","0","1","0.05555555555555555","196.61111111111111"
"ACADEMIA ATITUDE/GRACIE HUMAITA","1","0.00028256569652444194","0","0","0","0.0","0.0"
"EQUIPE RODRIGO ALEIXO","1","0.00028256569652444194","0","0","0","0.0","0.0"
"ACADEMIA COLISEU","1","0.00028256569652444194","0","0","0","0.0","0.0"
"CHECKMAT","147","0.041537157389092964","20","19","21","0.40816326530612246","2864.904761904762"
"YAWARE","2","0.0005651313930488839","1","0","1","1.0","7078.0"
"WINNERJJ","1","0.00028256569652444194","0","0","0","0.0","0.0"
"B19RNK","1","0.00028256569652444194","0","1","0","1.0","7078.0"
"MARIO SUKATA INTERNATIONAL","5","0.0014128284826222096","1","0","1","0.4","2831.2"
"OXFORD SHOOTFIGHTER","2","0.0005651313930488839","1","0","0","0.5","5308.5"
"POWER MMA","1","0.00028256569652444194","0","0","0","0.0","0.0"
"BRUNO BASTOS ASSOCIATION","5","0.0014128284826222096","3","0","1","0.8","7078.0"
"POWERHOUSE SANREMO","1","0.00028256569652444194","0","0","0","0.0","0.0"
"SUL JIU-JITSU","6","0.0016953941791466515","0","0","2","0.3333333333333333","1179.6666666666667"
"ASM JIU-JITSU - PALHOA","2","0.0005651313930488839","0","0","1","0.5","1769.5"
"MATHIAS RIBEIRO TEAM","18","0.005086182537439954","1","1","6","0.4444444444444444","2162.722222222222"
"RIO GRAPPLING CLUB ITALIA","8","0.0022605255721955355","0","0","1","0.125","442.375"
"BRASA","12","0.003390788358293303","0","0","1","0.08333333333333333","294.9166666666667"
"HAGAKUR 83","5","0.0014128284826222096","0","0","0","0.0","0.0"
"TRI-FORCE JIU-JITSU ACADEMY","2","0.0005651313930488839","1","1","0","1.0","8847.5"
"PRBJJ RONNY CARVALHO","7","0.0019779598756710934","0","0","1","0.14285714285714285","505.5714285714286"
"TRINACRIA BJJ","1","0.00028256569652444194","0","0","0","0.0","0.0"
"CONCRETE BJJ","1","0.00028256569652444194","0","0","1","1.0","3539.0"
"GRACIE BARRA JJ","51","0.014410850522746538","0","1","3","0.0784313725490196","346.9607843137255"
"BRASA CAIO TERRA","107","0.030234529528115287","12","6","15","0.308411214953271","2083.7102803738317"
"CORVOS","1","0.00028256569652444194","0","0","0","0.0","0.0"
"PHUKET TOP TEAM - MMA TRAINING CAMP THAILAND","2","0.0005651313930488839","0","0","0","0.0","0.0"
"COIMBRA M.M.A.","1","0.00028256569652444194","0","0","0","0.0","0.0"
"ROYCE GRACIE PORTUGAL","8","0.0022605255721955355","0","0","3","0.375","1327.125"
"YEMASO BRAZILIAN JIU JITSU","1","0.00028256569652444194","0","0","0","0.0","0.0"
"RIBEIRO JIU-JITSU INTERNATIONAL","3","0.0008476970895733258","0","0","0","0.0","0.0"
"WAJUTSU KEISYUKAI HEARTS","2","0.0005651313930488839","0","0","0","0.0","0.0"
"DYNAMIX FIGHTING SPORTS","27","0.007629273806159932","1","4","4","0.3333333333333333","1966.111111111111"
"JC MELUN","17","0.004803616840915513","1","0","1","0.11764705882352941","832.7058823529412"
"TOP BROTHER MEXICO","3","0.0008476970895733258","0","1","1","0.6666666666666666","3539.0"
"POUND FOR POUND DEUTSCHLAND","1","0.00028256569652444194","0","0","0","0.0","0.0"
"SURFIGHT JIU-JITSU","1","0.00028256569652444194","0","0","0","0.0","0.0"
"NOVA GERAO","5","0.0014128284826222096","0","0","1","0.2","707.8"
"ALLIANCE","135","0.03814636903079966","25","13","31","0.5111111111111111","3460.3555555555554"
"RENZO GRACIE","3","0.0008476970895733258","1","0","0","0.3333333333333333","3539.0"
"CLARK GRACIE LE HAVRE","3","0.0008476970895733258","0","0","2","0.6666666666666666","2359.3333333333335"
"BABALU'S IRON GYM","1","0.00028256569652444194","0","0","1","1.0","3539.0"
"GRABAKA JIU JITSU CLUB","2","0.0005651313930488839","0","1","0","0.5","3539.0"
"ASSOCIAO ORIENTE","1","0.00028256569652444194","0","0","1","1.0","3539.0"
"COMBAT BASE UK","7","0.0019779598756710934","0","0","1","0.14285714285714285","505.5714285714286"
