"Game","#Athlete","Avg. round"
"BLUE_JUVENILE_2_MALE_LIGHT","4","2.0"
"BLACK_MASTER_2_MALE_LIGHT","13","3.6923076923076925"
"WHITE_ADULT_MALE_MIDDLE","59","5.423728813559322"
"BROWN_ADULT_MALE_HEAVY","9","4.0"
"BROWN_MASTER_4_MALE_MIDDLE","3","1.3333333333333333"
"WHITE_JUVENILE_2_MALE_MIDDLE","1","0.0"
"BROWN_ADULT_MALE_FEATHER","17","4.9411764705882355"
"BLACK_MASTER_4_MALE_MIDDLE","6","2.6666666666666665"
"BLUE_JUVENILE_2_FEMALE_MIDDLE","1","0.0"
"BLUE_MASTER_5_MALE_MEDIUM_HEAVY","5","2.8"
"BLUE_MASTER_4_MALE_MEDIUM_HEAVY","2","1.0"
"BLUE_MASTER_1_MALE_ULTRA_HEAVY","12","3.75"
"PURPLE_MASTER_1_MALE_HEAVY","11","3.8181818181818183"
"PURPLE_MASTER_2_MALE_FEATHER","8","3.0"
"BLACK_MASTER_1_MALE_MIDDLE","18","4.888888888888889"
"BLUE_MASTER_2_MALE_MEDIUM_HEAVY","23","4.695652173913044"
"BLACK_MASTER_1_MALE_HEAVY","8","3.0"
"BLUE_MASTER_1_FEMALE_HEAVY","2","1.0"
"BLUE_MASTER_2_MALE_ULTRA_HEAVY","9","4.0"
"BLACK_MASTER_1_MALE_LIGHT","19","4.842105263157895"
"WHITE_MASTER_1_MALE_SUPER_HEAVY","11","3.8181818181818183"
"BLACK_MASTER_2_MALE_MIDDLE","15","3.6"
"PURPLE_MASTER_3_MALE_MEDIUM_HEAVY","11","3.8181818181818183"
"BLUE_MASTER_1_FEMALE_MIDDLE","5","2.8"
"WHITE_ADULT_FEMALE_MEDIUM_HEAVY","8","3.0"
"PURPLE_ADULT_MALE_LIGHT","69","6.521739130434782"
"WHITE_MASTER_2_MALE_MIDDLE","23","4.695652173913044"
"BROWN_MASTER_5_MALE_ULTRA_HEAVY","1","0.0"
"PURPLE_MASTER_1_MALE_MEDIUM_HEAVY","21","4.761904761904762"
"BLUE_MASTER_5_MALE_FEATHER","3","1.3333333333333333"
"PURPLE_MASTER_1_MALE_LIGHT","30","4.533333333333333"
"BLUE_MASTER_1_MALE_HEAVY","23","4.695652173913044"
"WHITE_JUVENILE_1_MALE_MEDIUM_HEAVY","3","1.3333333333333333"
"BLUE_MASTER_4_MALE_ULTRA_HEAVY","2","1.0"
"BLACK_MASTER_4_MALE_FEATHER","4","2.0"
"BROWN_ADULT_FEMALE_MEDIUM_HEAVY","2","1.0"
"BLUE_MASTER_2_MALE_LIGHT_FEATHER","9","4.0"
"WHITE_JUVENILE_2_MALE_FEATHER","4","2.0"
"PURPLE_MASTER_3_MALE_FEATHER","6","2.6666666666666665"
"BLACK_MASTER_3_MALE_SUPER_HEAVY","4","2.0"
